,user,text,favorite_count,retweet_count,created_at
89,elonmusk,"@TitterDaily A troll, me?? 🤣",16982,1017,2023-04-22 22:19:33+00:00
90,elonmusk,@UpdatingOnRome 🪦,2266,109,2023-04-22 22:16:35+00:00
91,elonmusk,https://t.co/8iNKfSwC4y,625503,56727,2023-04-22 21:48:37+00:00
92,elonmusk,@unusual_whales Not exactly neutral,14504,953,2023-04-22 21:34:25+00:00
93,elonmusk,@charliesheen You’re welcome!,45559,1274,2023-04-22 21:13:17+00:00
94,elonmusk,What makes @CommunityNotes so powerful is that people with different points of view have to agree that a note is correct for it to be shown,105585,8726,2023-04-22 21:12:41+00:00
95,elonmusk,@TrungTPhan So many Zoolander memes 😂,2019,96,2023-04-22 21:04:14+00:00
96,elonmusk,@TrungTPhan https://t.co/sYvCLNrarU,8051,388,2023-04-22 21:03:24+00:00
97,elonmusk,@TimSweeneyEpic 🔥🔥,3850,201,2023-04-22 20:03:38+00:00
98,elonmusk,check mate,325024,24425,2023-04-22 19:18:47+00:00
99,elonmusk,@EdKrassen Do you write in defense of the truth?,9290,752,2023-04-22 19:09:19+00:00
100,elonmusk,"@EzerRatchaga Starship is super insane, but such a system is the only way for us to become a multiplanet civilization",30999,2702,2023-04-22 18:58:07+00:00
101,elonmusk,@RBReich I will pay for your blue check – my gift to you 💕,3916,209,2023-04-22 18:55:31+00:00
102,elonmusk,@cb_doge @nytimes 🤣🤣,8658,390,2023-04-22 18:32:18+00:00
103,elonmusk,@TimSweeneyEpic 🎯,2115,117,2023-04-22 18:30:59+00:00
104,elonmusk,@rpoo Well said,2850,162,2023-04-22 18:30:07+00:00
105,elonmusk,@RBReich Have you considered a career in comedy?,6390,413,2023-04-22 18:26:33+00:00
106,elonmusk,"@SciGuySpace Still early in analysis, but the force of the engines when they throttled up may have shattered the concrete, rather than simply eroding it. The engines were only at half thrust for the static fire test.",7414,605,2023-04-22 15:42:04+00:00
107,elonmusk,@stats_feed @paulg Demographics is destiny,26801,2846,2023-04-22 15:36:36+00:00
108,elonmusk,"@krassenstein @EdKrassen Anointed nobility is anathema

Quality of content counts",7764,569,2023-04-22 15:24:36+00:00
109,elonmusk,@TimSweeneyEpic Exactly,1740,97,2023-04-22 15:14:48+00:00
110,elonmusk,@wallstmemes @greg16676935420 🤣,1996,81,2023-04-22 14:38:10+00:00
111,elonmusk,@charliesheen I feel your pain,121753,4784,2023-04-22 04:34:16+00:00
112,elonmusk,@carlabitcoin Beautiful,19683,1035,2023-04-22 04:32:04+00:00
113,elonmusk,@ShitpostGate 🤣,3623,142,2023-04-22 03:59:41+00:00
114,elonmusk,@krispykreme My feed has correctly guessed that I like yummy snacks,1966,91,2023-04-22 03:59:10+00:00
115,elonmusk,@pizzahut lol … nice bio btw,2651,126,2023-04-22 03:52:01+00:00
116,elonmusk,@stevenmarkryan Being a Mom is a real job that deserves major respect,177926,17465,2023-04-22 03:49:47+00:00
117,elonmusk,"@DavidSacks Everyone pays the same price for a Tesla, including me. Same goes for new Twitter.",58246,3929,2023-04-22 02:58:10+00:00
118,elonmusk,@BillyM2k @seanonolennon 🎯,6185,319,2023-04-22 02:52:15+00:00
119,elonmusk,@Resist_05 🔥,23519,1013,2023-04-22 02:49:37+00:00
120,elonmusk,@cb_doge 🤣🎯,5116,269,2023-04-22 02:46:48+00:00
121,elonmusk,"@krassenstein Agreed, almost all of this is in work. There will be some mistakes along the way, but we will fix them fast.",4347,312,2023-04-22 02:46:21+00:00
122,elonmusk,@tunguz Rust,10507,696,2023-04-22 02:40:02+00:00
123,elonmusk,@BasedHypnotist 🪦,6761,252,2023-04-22 02:33:08+00:00
124,elonmusk,@DisneyMusic @starwars @DisneyPlus Bad Batch is great,2659,367,2023-04-22 02:32:11+00:00
125,elonmusk,@farzyness 🤣,3814,168,2023-04-22 02:26:06+00:00
126,elonmusk,@Erdayastronaut @SpaceX @considercosmos Great shot!,13375,601,2023-04-22 02:21:43+00:00
127,elonmusk,@SmokeAwayyy @SpaceX Exactly,4937,278,2023-04-22 02:16:46+00:00
128,elonmusk,Starship liftoff in slow motion https://t.co/KqHjqwP88Z,328846,31383,2023-04-22 01:02:10+00:00
129,elonmusk,@Rainmaker1973 Deep time is disturbing,5099,310,2023-04-21 23:47:48+00:00
130,elonmusk,@Rainmaker1973 But super obvious in infrared,22543,625,2023-04-21 23:45:33+00:00
131,elonmusk,@mezaoptimizer You correctly highlight the absurdity,2680,199,2023-04-21 23:43:06+00:00
132,elonmusk,@unusual_whales Lithium ore is very common throughout Earth. What matters is refining capacity.,19986,3007,2023-04-21 23:42:16+00:00
133,elonmusk,@WallStreetSilv The caffeine one is most concerning! Like … how much caffeine did that spider get!?,29619,1287,2023-04-21 23:39:23+00:00
134,elonmusk,@EdKrassen @FormerNewspaper Ok,1041,67,2023-04-21 23:37:23+00:00
135,elonmusk,@RubinReport 🤣,6843,314,2023-04-21 23:29:49+00:00
136,elonmusk,@WallStreetSilv Wow,10901,397,2023-04-21 23:17:50+00:00
137,elonmusk,@GRDecter !,3243,168,2023-04-21 23:11:04+00:00
138,elonmusk,@EvaFoxU 😂,2557,133,2023-04-21 23:10:54+00:00
139,elonmusk,"@nicksortor At this point, I’m quite curious about the manifesto!",56757,5442,2023-04-21 22:56:06+00:00
140,elonmusk,@kylenabecker ?,18263,879,2023-04-21 22:53:57+00:00
141,elonmusk,"@EdKrassen I certainly agree that this requires a nuanced evaluation of all the facts, but please stop with the Russian bogeyman",26282,2032,2023-04-21 22:44:31+00:00
142,elonmusk,@ggreenwald Next-level irony!,9264,736,2023-04-21 22:28:48+00:00
143,elonmusk,"@PeterDiamandis Hear, hear!!",3032,183,2023-04-21 22:27:15+00:00
144,elonmusk,@dogeofficialceo 🤣,2530,130,2023-04-21 22:26:33+00:00
145,elonmusk,@DavidSacks There needs to be some accountability here!,125486,16596,2023-04-21 22:19:20+00:00
146,elonmusk,@shellenberger @GavinNewsom Wow,5812,335,2023-04-21 22:17:41+00:00
147,elonmusk,"@RGVaerialphotos All that’s left of the concrete lateral support beam is the rebar! Hopefully, this didn’t gronk the launch mount.",11070,593,2023-04-21 22:16:41+00:00
148,elonmusk,@0xfoobar !,4182,369,2023-04-21 22:14:53+00:00
149,elonmusk,@wintonARK Interesting thread,3803,258,2023-04-21 21:35:58+00:00
150,elonmusk,"@SciGuySpace 3 months ago, we started building a massive water-cooled, steel plate to go under the launch mount. 

Wasn’t ready in time &amp; we wrongly thought, based on static fire data, that Fondag would make it through 1 launch.

Looks like we can be ready to launch again in 1 to 2 months.",51098,3987,2023-04-21 21:22:19+00:00
151,elonmusk,@EdKrassen 🤣🤣 It’s a real thing,10204,419,2023-04-21 16:17:22+00:00
152,elonmusk,@EdKrassen We’ve started a “save-a-celebrity fund” to pay their $8. We take this matter very seriously.,226998,17760,2023-04-21 16:03:45+00:00
153,elonmusk,@paulg I’ll pay for yours,29864,1331,2023-04-21 15:59:53+00:00
154,elonmusk,@alx What say you @SecBlinken?,36024,7606,2023-04-21 15:29:25+00:00
155,elonmusk,@shellenberger @briebriejoy @robbysoave They got caught,44156,4189,2023-04-21 15:27:21+00:00
156,elonmusk,@DavidSacks Exactly,12721,709,2023-04-21 15:26:23+00:00
157,elonmusk,@dom_lucre Good US history thread,15794,1583,2023-04-21 11:22:13+00:00
158,elonmusk,@Not_the_Bee It sucked,54741,1912,2023-04-21 04:26:26+00:00
159,elonmusk,@alifarhat79 @alx Couldn’t sleep last night because of Starship launch,6206,277,2023-04-21 04:25:44+00:00
160,elonmusk,@alifarhat79 @alx Have to sleep,4862,197,2023-04-21 04:18:25+00:00
161,elonmusk,@alx Maybe he’d like some 🧀 with his 🍷,19621,1206,2023-04-21 04:15:46+00:00
162,elonmusk,@BenStiller 🤣,12714,400,2023-04-21 04:12:51+00:00
163,elonmusk,"Great song 
https://t.co/TpFcobGrch",61514,5345,2023-04-21 03:49:33+00:00
164,elonmusk,@LibertyCappy Such a strange dichotomy …,47789,2065,2023-04-21 03:46:41+00:00
165,elonmusk,Such a great day in so many ways,346403,23558,2023-04-21 03:36:45+00:00
166,elonmusk,@BillyM2k Lmaoooo,6206,395,2023-04-21 02:50:49+00:00
167,elonmusk,@alx Same,9069,389,2023-04-21 01:06:38+00:00
168,elonmusk,"@RampCapitalLLC Hear, hear!",8482,422,2023-04-21 01:04:19+00:00
169,elonmusk,@nicksortor @nypost !!,4208,360,2023-04-21 01:03:21+00:00
170,elonmusk,@KimDotcom lol,58087,2114,2023-04-21 01:02:12+00:00
171,elonmusk,@wrong_speak They’ll survive … somehow …,52227,2446,2023-04-21 01:01:24+00:00
172,elonmusk,@DrJBhattacharya Fate hates hypocrisy,8185,666,2023-04-21 00:42:02+00:00
173,elonmusk,"@PopBase Just Shatner, LeBron and King",162142,6873,2023-04-21 00:39:55+00:00
174,elonmusk,@Jason As they should,4263,282,2023-04-20 22:51:45+00:00
175,elonmusk,@BillyM2k @ericnakagawa 🤣,3256,147,2023-04-20 22:51:04+00:00
176,elonmusk,@StephenKing @amayamario You’re welcome namaste 🙏,208216,7377,2023-04-20 22:42:18+00:00
177,elonmusk,@cb_doge @NBCUniversal It is  insane to trust any “social network” or “search” company that won’t show you their source code,54521,7661,2023-04-20 22:37:51+00:00
178,elonmusk,@KanekoaTheGreat And always will be,100301,6004,2023-04-20 22:35:59+00:00
179,elonmusk,@KanekoaTheGreat Exactly,13257,884,2023-04-20 22:34:18+00:00
180,elonmusk,@TitterDaily I’m paying for a few personally,9826,929,2023-04-20 22:09:37+00:00
181,elonmusk,@Anc_Aesthetics Good thread,3361,235,2023-04-20 21:52:25+00:00
182,elonmusk,@Anc_Aesthetics 🎯,1396,92,2023-04-20 21:52:03+00:00
183,elonmusk,@alx X,9870,667,2023-04-20 21:50:47+00:00
